rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
40,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,"Batt et al., Spiliotopoulos et al., Dorigo et al., Dorweiler et al., Heinola et al., Ali et al., Harlander-Locke et al., O'Connor et al., Rodrigues dos Santos et al.","For patients with abdominal aortic vascular graft/endograft infection, cryopreserved allografts, silver coated grafts, rifampicin bonded polyester grafts, or bovine pericardium should be considered as alternative solutions."
41,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iib,C,"Mirzaie et al., Simmons et al., Phang et al.",Partial excision of infected an aortic vascular graft/endograft may be considered when infection is documented as limited and the remaining material is well incorporated.
42,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iib,B,Oderich et al.,"For patients with abdominal aortic vascular graft/endograft infection and a large abscess or multiresistant micro-organisms, extra-anatomic reconstruction may be considered."
43,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,"Lejay et al., Harlander-Locke et al., Touma et al., Kieffer et al.,","Lifelong imaging follow up is recommended after *in situ* reconstruction with cryopreserved allografts for abdominal aortic vascular graft/endograft infection, in order to detect allograft degeneration."
44,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iib,C,"Miyamoto et al., Schoell et al.",Securing a supracoeliac clamp zone or using an aortic occlusion balloon may be considered as the first step before entering the aorto-enteric fistula area.
45,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iia,C,"Chick et al., Batt et al.","In the emergency setting of active bleeding complicating abdominal aortic graft/endograft infection with or without aorto-enteric fistula, initial treatment with an endograft should be considered, but only as a temporary measure."
46,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,Rodrigues dos Santos et al.,"In surgical repair of aortic abdominal graft/endograft infection with aorto-enteric fistula, omentoplasty or transfer of autologous vascularised tissue to cover the vascular reconstruction is recommended."
47,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iib,C,"van den Bergh et al., Das et al., Malgor et al., Madoff et al., Pillai et al.","In the emergency setting of active bleeding complicating abdominal aortic graft/endograft infection with an arterio-ureteral fistula, initial treatment with an endograft may be considered, but only as a temporary measure."
48,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iia,C,"van den Bergh et al., Das et al., Malgor et al., Madoff et al., Pillai et al.","For patients with an arterio-ureteral fistula and vascular graft/endograft infection, complete explantation of the graft combined with urological treatment with or without *in situ* arterial reconstruction should be considered."
49,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,Siracuse et al.,"For patients with peripheral vascular graft/endograft infection, *in situ* reconstruction with autologous vein is recommended if removal of the infected graft is likely to lead to limb ischaemia."
50,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,"Thermann and Wollert, Andersson et al., Monsen et al.","For patients with peripheral vascular graft/endograft infection limited to only a part of the graft and in patients unfit for surgery, local irrigation and/or negative pressure wound therapy may be considered."
51,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,"Verma et al., Armstrong et al., Cheng et al., Andersson et al., Monsen et al.","For patients with a peripheral vascular graft/endograft infection and a large tissue defect, negative pressure wound therapy should be considered in order to promote wound healing following infected graft removal and debridement with or without vascular reconstruction."
52,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,"Lejay et al., Ehsan and Gibbons, Zetrenne et al., Gabriel et al., Verhelst et al.","For patients with peripheral vascular graft/endograft infection, <i>in situ reconstruction with cryopreserved allografts should be considered as an alternative after infected graft removal if it is likely to lead to limb ischaemia."
53,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,B,"McMillan et al., Brewer et al., Mirzabeigi et al., Dua et al.","For patients with a peripheral vascular graft/endograft infection and a large tissue defect, muscle or musculocutaneous flaps should be considered to promote groin healing following graft removal and debridement with or without vascular reconstruction."
